"game__name","game__description","game__duration","game__status","game__level","game__genre","question__text","question__points","question__order","answer__text","answer__points","answer__order"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 1","1","1","Réponse 1 0","0","0"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 1","1","1","Réponse 1 1","0","1"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 1","1","1","Réponse 1 2","1","2"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 2","1","2","Réponse 2 0","0","0"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 2","1","2","Réponse 2 1","1","1"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 2","1","2","Réponse 2 2","0","2"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 3","1","3","Réponse 3 0","1","0"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 3","1","3","Réponse 3 1","0","1"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 3","1","3","Réponse 3 2","0","2"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 4","1","4","Réponse 4 0","0","0"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 4","1","4","Réponse 4 1","0","1"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 4","1","4","Réponse 4 2","1","2"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 5","1","5","Réponse 5 0","0","0"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 5","1","5","Réponse 5 1","1","1"
"Django","**sample**","1 02:03:04","ongoing","1","Django","Question 5","1","5","Réponse 5 2","0","2"
